127 E Riverside Dr,30.255767,-97.745974
Music Lane,30.2537535,-97.7477022
Domain 4,30.4010731,-97.7197352
300 West Sixth,30.2692179,-97.7457684
CityView Office,30.2539342,-97.7476599
DOMAIN W4,30.40084,-97.722639
300 West Sixth,30.2689848,-97.7456684
812 San Antonio Street,30.2719463,-97.7466594
The Grove,30.321545,-97.756594
FROST BANK TOWER,30.266401,-97.743028
902 E. 5th Street,30.264733,-97.7336499
3500 Jefferson St,30.30809,-97.751602
812 San Antonio St,30.271868,-97.746684
CANYON HILLS,30.41006,-97.748661
Centennial Towers,30.330427,-97.70841
1205 Nueces St,30.275906,-97.745766
IBC BANK PLAZA,30.268673,-97.747843
The Crossings at Lakeline,30.480056,-97.794544
Whit Hanks,30.2714321,-97.7551373
Meridian Plaza,30.280138,-97.745321
Riata Corporate Park,30.4267415,-97.740587
711 W 7th St,30.270878,-97.750119
Offices at The Quincy,30.260902,-97.738801
Crossroads Industrial Park,30.0992169,-97.6936704
Large Office/Warehouse or Creative Workspace,30.4349283,-97.6704954
10601 Pecan Park Blvd, Unit 1-D,30.4649918,-97.7968517
704 Congress Avenue,30.2693651,-97.7427949
HARRIS RIDGE BUSINESS CENTER,30.40969,-97.648617
3300 North Interstate Highway 35,30.2905183,-97.7226702
Corridor Park Pointe E,30.470552,-97.675278
3301 Northland Drive,30.3361108,-97.7565557
United Heritage Plaza,30.430227,-97.758528
11809 Domain Dr,30.404522,-97.723006
10200 N Lamar Blvd,30.371313,-97.692769
10705 Metric Blvd,30.386696,-97.710975
Whit Hanks,30.271618,-97.755147
WATERFORD D,30.3768873,-97.7290249
Center Lake Business Park,30.193533,-98.005925
OAK HILL PLAZA,30.235459,-97.877094
Colina West,30.389,-97.760959
BREMOND BUILDING,30.269979,-97.741685
COLINA WEST,30.388995,-97.760951
The Collective,30.182421,-97.781959
MESA WEST CENTER,30.356509,-97.736864
VILLAS ON SIXTH,30.260198,-97.719078
The Citadel,30.369016,-97.787643
3001 N Lamar Blvd,30.299163,-97.746565
Prologis Walnut Creek,30.3406607,-97.6705446
THE CARILLON,30.3027374,-97.7648877
EXCHANGE PARK,30.3602128,-97.7423068
2213 N FM 620th Rd,30.385713,-97.942343
13220 W US 290,30.201866,-97.988479
